#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
4.0,"McClendon, Sydney 4McClendon, Sydney",33,9,2.0,10.0,0.3,3,0.09,1,7,0.286,4,0.12,7,0.21,16,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",24,7,0.0,0.0,0.0,0,0.0,2,5,-0.4,2,0.08,0,0.0,1,View Bio
6.0,"Batrezchavez, Hazel 6Batrezchavez, Hazel",2,1,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",38,10,5.0,29.5,0.78,17,0.45,5,86,0.14,285,7.5,6,0.16,6,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",3,2,0.0,1.0,0.33,1,0.33,0,1,1.0,0,0.0,0,0.0,2,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",21,7,4.0,42.5,2.02,37,1.76,27,169,0.059,3,0.14,3,0.14,7,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",34,9,4.0,107.5,3.16,84,2.47,46,289,0.131,6,0.18,17,0.5,11,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",38,10,4.0,106.0,2.79,96,2.53,51,313,0.144,2,0.05,0,0.0,0,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",36,10,4.0,73.0,2.03,48,1.33,23,128,0.195,1,0.03,8,0.22,9,View Bio
14.0,"Garringer, Sarah 14 Garringer, Sarah",29,9,4.0,54.5,1.88,45,1.55,29,164,0.098,5,0.17,6,0.21,5,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",13,5,0.0,0.0,0.0,0,0.0,1,2,-0.5,2,0.15,0,0.0,0,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",3,3,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",5,3,1.0,5.5,1.1,5,1.0,2,18,0.167,0,0.0,0,0.0,0,View Bio
21.0,"Rasmussen, Rebecca 21Rasmussen, Rebecca",33,10,2.0,38.5,1.17,29,0.88,21,110,0.073,1,0.03,0,0.0,0,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",38,10,0.0,9.0,0.24,4,0.11,7,45,-0.067,34,0.89,5,0.13,11,View Bio
24.0,"Hood, Christine 24Hood, Christine",13,5,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.23,0,0.0,1,View Bio
,Total,38,10,,477.0,12.55,369,9.71,215,1337,0.115,348,9.16,52,1.37,69,
,Opponents,38,10,,607.0,15.97,471,12.39,192,1335,0.209,440,11.58,76,2.0,91,
