#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Taylor, Deanna 2 Taylor, Deanna",2,0,0.0,1,1,0.0,0.5,0,0,0.0,0.0,0,0,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",88,155,1.76,30,152,0.803,0.34,0,0,0.0,0.0,0,4,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",39,54,1.38,8,38,0.789,0.21,0,0,0.0,0.0,0,2,View Bio
6.0,"Batrezchavez, Hazel 6Batrezchavez, Hazel",3,2,0.67,0,2,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",93,150,1.61,2,3,0.333,0.02,10,22,32.0,0.34,6,20,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",11,3,0.27,0,0,0.0,0.0,0,3,3.0,0.27,1,0,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",60,91,1.52,13,74,0.824,0.22,1,8,9.0,0.15,2,4,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",97,211,2.18,49,183,0.732,0.51,8,27,35.0,0.36,6,6,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",96,49,0.51,1,3,0.667,0.01,6,41,47.0,0.49,7,2,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",97,63,0.65,6,9,0.333,0.06,21,50,71.0,0.73,8,4,View Bio
14.0,"Garringer, Sarah 14 Garringer, Sarah",73,53,0.73,9,54,0.833,0.12,3,11,14.0,0.19,11,2,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",63,110,1.75,17,98,0.827,0.27,0,0,0.0,0.0,0,2,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",9,4,0.44,2,3,0.333,0.22,0,0,0.0,0.0,0,0,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",18,2,0.11,0,0,0.0,0.0,2,6,8.0,0.44,1,1,View Bio
19.0,"Bull, Ashleigh 19Bull, Ashleigh",1,2,2.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
21.0,"Rasmussen, Rebecca 21Rasmussen, Rebecca",75,11,0.15,2,3,0.333,0.03,9,36,45.0,0.6,11,1,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",101,454,4.5,46,273,0.832,0.46,0,0,0.0,0.0,0,1,View Bio
24.0,"Hood, Christine 24Hood, Christine",29,26,0.9,7,47,0.851,0.24,0,0,0.0,0.0,0,0,View Bio
,Total,101,1440,14.26,200,949,0.789,1.98,60,204,162.0,1.6,53,49,
,Opponents,101,1573,15.57,153,939,0.837,1.51,54,225,166.5,1.65,36,41,
