#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
4.0,"McClendon, Sydney 4McClendon, Sydney",33,58,1.76,12,86,0.86,0.36,0,0,0.0,0.0,0,0,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",24,28,1.17,6,35,0.829,0.25,0,0,0.0,0.0,0,1,View Bio
6.0,"Batrezchavez, Hazel 6Batrezchavez, Hazel",2,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",38,77,2.03,0,0,0.0,0.0,3,7,10.0,0.26,1,12,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",3,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",21,45,2.14,10,71,0.859,0.48,1,3,4.0,0.19,1,0,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",34,78,2.29,14,64,0.781,0.41,2,9,11.0,0.32,0,1,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",38,23,0.61,1,3,0.667,0.03,3,14,17.0,0.45,0,1,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",36,29,0.81,2,8,0.75,0.06,8,18,26.0,0.72,0,1,View Bio
14.0,"Garringer, Sarah 14 Garringer, Sarah",29,24,0.83,3,36,0.917,0.1,1,5,6.0,0.21,0,0,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",13,29,2.23,6,46,0.87,0.46,0,0,0.0,0.0,0,0,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",3,0,0.0,1,3,0.667,0.33,0,0,0.0,0.0,0,0,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",5,1,0.2,0,0,0.0,0.0,0,1,1.0,0.2,0,0,View Bio
21.0,"Rasmussen, Rebecca 21Rasmussen, Rebecca",33,5,0.15,2,3,0.333,0.06,4,11,15.0,0.45,3,0,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",38,193,5.08,16,170,0.906,0.42,0,0,0.0,0.0,0,1,View Bio
24.0,"Hood, Christine 24Hood, Christine",13,10,0.77,3,47,0.936,0.23,0,0,0.0,0.0,0,0,View Bio
,Total,38,600,15.79,76,573,0.867,2.0,22,68,56.0,1.47,5,17,
,Opponents,38,660,17.37,52,529,0.902,1.37,16,88,60.0,1.58,7,14,
