#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
9.0,"Wilson, Garrett 9 Wilson, Garrett",10,34,525,15.44,3,81,52.5,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",10,34,438,12.88,5,70,43.8,View Bio
6.0,"Readon, CJ 6 Readon, CJ",10,14,163,11.64,1,32,16.3,View Bio
15.0,"Smith, Noah 15 Smith, Noah",10,16,126,7.88,1,23,12.6,View Bio
17.0,"Destino, Bennett 17 Destino, Bennett",8,8,119,14.88,1,59,14.88,View Bio
10.0,"Reed, Jack 10 Reed, Jack",6,8,111,13.88,0,38,18.5,View Bio
34.0,"Reiter, Chris 34 Reiter, Chris",9,6,59,9.83,0,25,6.56,View Bio
82.0,"Jackson, Hunter 82 Jackson, Hunter",9,5,46,9.2,0,15,5.11,View Bio
88.0,"West, Bradley 88 West, Bradley",7,6,42,7.0,0,14,6.0,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",10,6,31,5.17,1,9,3.1,View Bio
69.0,"Taylor, Tyrell 69 Taylor, Tyrell",10,1,4,4.0,0,4,0.4,View Bio
50.0,"Skinner, Landon 50 Skinner, Landon",10,1,2,2.0,0,2,0.2,View Bio
26.0,"Eaton, Sam 26 Eaton, Sam",10,1,0,0.0,0,0,0.0,View Bio
7.0,"Johanson, Kevin 7 Johanson, Kevin",10,0,0,,0,0,0.0,View Bio
,Total,10,140,1666,11.9,12,81,166.6,
,Opponents,10,190,2534,13.34,29,75,253.4,
