#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",5,0,0,9-12,0-0,0,0-0,0,39,View Bio
2.0,"Woodhouse, Grayson 2 Woodhouse, Grayson",4,0,0,0-0,1-1,0,0-1,0,26,View Bio
9.0,"Wilson, Garrett 9 Wilson, Garrett",3,0,0,0-0,0-0,0,0-0,0,18,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",2,0,0,0-0,0-1,0,0-0,0,12,View Bio
17.0,"Destino, Bennett 17 Destino, Bennett",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
26.0,"Eaton, Sam 26 Eaton, Sam",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
7.0,"Johanson, Kevin 7 Johanson, Kevin",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
6.0,"Readon, CJ 6 Readon, CJ",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
15.0,"Smith, Noah 15 Smith, Noah",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
88.0,"West, Bradley 88 West, Bradley",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
,"Gerrald, Grant  Gerrald, Grant",0,1,0,1-2,0-0,0,0-0,0,4,View Bio
,Team  Team,0,0,1,0-0,0-1,0,0-0,0,2,
44.0,"Schwartzman, Juniper 44 Schwartzman, Juniper",0,0,0,1-1,0-0,0,0-0,0,1,View Bio
,Total,20,1,1,11-15,1-3,0,0-2,0,138,
,Opponents,56,6,2,48-51,1-4,1,1-1,0,410,
