Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
09/04/2023,Lyon,6,214,35.7,73,0,0,3,1,2,1-3,31.0,0,2,57,28.5,0,0
09/09/2023,Ripon,5,191,38.2,45,0,0,0,0,2,0-0,0.0,0,3,118,39.33,0,0
09/16/2023,Beloit,2,91,45.5,46,0,0,0,0,2,0-1,0.0,0,6,311,51.83,2,0
09/30/2023,Lawrence,3,156,52.0,67,0,0,0,2,2,0-0,0.0,0,6,284,47.33,2,0
10/07/2023,Monmouth (IL),8,300,37.5,53,0,1,0,1,3,0-0,,0,2,99,49.5,0,0
10/14/2023,Lake Forest,11,284,25.8,46,0,0,0,0,0,0-0,,0,1,36,36.0,0,0
10/21/2023,Knox,5,158,19.75,62,1,0,0,1,1,0-0,0.0,0,2,95,47.5,1,0
10/28/2023,Illinois Col.,10,320,17.8,46,1,0,1,0,2,0-0,,0,2,101,50.5,0,0
11/04/2023,UChicago,8,255,31.3,40,0,0,1,0,1,0-0,0.0,0,3,110,36.67,0,0
11/11/2023,Cornell College,3,71,23.7,38,0,0,0,0,1,0-0,0.0,0,4,154,38.5,0,0
