Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
09/04/2023,Lyon,L,12-18,3,1,7,1,1,0,0,0,1,0,1,0,0
09/09/2023,Ripon,L,12-31,4,2,12,2,1,1,0,0,1,1,0,0,0
09/16/2023,Beloit,W,33-23,5,4,27,4,3,1,0,1,0,0,0,0,0
09/30/2023,Lawrence,W,34-16,3,2,14,2,1,1,0,0,1,0,0,0,0
10/07/2023,Monmouth (IL),L,6-69,1,1,6,1,0,1,0,0,0,0,0,0,0
10/14/2023,Lake Forest,L,0-47,1,0,0,0,0,0,0,0,1,0,0,0,0
10/21/2023,Knox,L,7-14,3,1,7,1,0,1,0,0,1,0,1,0,0
10/28/2023,Illinois Col.,L,0-93,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/2023,UChicago,L,14-48,3,2,14,2,1,1,0,0,1,0,0,0,0
11/11/2023,Cornell College,L,20-51,2,2,14,2,0,2,0,0,0,0,0,0,0
,TOTALS,,,25,15,101,15,7,8,0,1,6,1,2,0,0
