#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",50,1739,34.78,67,1,1,14,4,0,View Bio
,"Gerrald, Grant  Gerrald, Grant",6,214,35.67,73,0,3,2,1,0,View Bio
18.0,"Griffin, Ajay 18 Griffin, Ajay",3,87,29.0,32,0,1,0,0,0,View Bio
,Team  Team,2,0,0.0,0,0,0,0,0,2,
,Total,61,2040,33.44,73,1,5,16,5,2,
,Opponents,23,680,29.57,64,2,3,7,3,0,
