#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
2.0,"Woodhouse, Grayson 2 Woodhouse, Grayson",9,116.03,105,200,3,52.50 %,1309,7,81,145.44,View Bio
1.0,"Baird, Henry 1 Baird, Henry",9,100.88,34,66,4,51.52 %,326,4,70,36.22,View Bio
15.0,"Smith, Noah 15 Smith, Noah",10,690.4,1,1,0,100.00 %,31,1,31,3.1,View Bio
16.0,"Cloake, Will 16 Cloake, Will",3,0.0,0,2,0,0.00 %,0,0,0,0.0,View Bio
,Team  Team,10,0.0,0,1,0,0.00 %,0,0,0,0.0,
,Total,10,113.16,140,270,7,51.85 %,1666,12,81,166.6,
,Opponents,10,160.05,190,304,6,62.50 %,2534,29,75,253.4,
