Date,Opponent,Result,Score,Record,Duration,Attendance
09/04/2023,at Lyon,L,12-18,"0-1 , 0-0",02:56,1200
09/09/2023,vs Ripon,L,12-31,"0-2 , 0-1",02:46,2000
09/16/2023,at Beloit,W,33-23,"1-2 , 1-1",02:38,0
09/30/2023,vs Lawrence,W,34-16,"2-2 , 2-1",02:36,3000
10/07/2023,at Monmouth (IL),L,6-69,"2-3 , 2-2",02:50,2000
10/14/2023,at Lake Forest,L,0-47,"2-4 , 2-3",02:21,431
10/21/2023,vs Knox,L,7-14,"2-5 , 2-4",02:41,721
10/28/2023,at Illinois Col.,L,0-93,"2-6 , 2-5",02:53,1348
11/04/2023,vs UChicago,L,14-48,"2-7 , 2-6",02:38,501
11/11/2023,vs Cornell College,L,20-51,"2-8 , 2-7",02:52,381
,,,,,,11582
