#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
22,"Werner, Hugh 22 Werner, Hugh",8,32,72,104.0,3.5-15,0-0,1,1,0,2,1,0,0,View Bio
3,"Johnson, Tim 3 Johnson, Tim",10,22,72,94.0,3.5-6,0-0,1,0,0,0,0,0,0,View Bio
12,"Greene, Bert 12 Greene, Bert",10,26,55,81.0,6.5-21,2.5-14,0,0,0,0,0,0,0,View Bio
42,"Walters, Luke 42 Walters, Luke",10,19,56,75.0,7.0-22,3.0-8,0,1,0,0,3,0,0,View Bio
20,"Fitzgerald, Keaton 20 Fitzgerald, Keaton",10,19,37,56.0,3.5-10,0.5-6,0,3,0,0,0,0,0,View Bio
7,"Johanson, Kevin 7 Johanson, Kevin",10,20,25,45.0,0.5-1,0-0,3,1,0,1,0,0,0,View Bio
55,"Lawrence, TJ 55 Lawrence, TJ",10,14,29,43.0,9.0-38,5.0-29,0,1,2,0,0,0,0,View Bio
41,"Blanchard, Greyson 41 Blanchard, Greyson",10,14,27,41.0,5.0-31,3.5-27,0,0,0,0,0,0,0,View Bio
4,"Stefan, Luke 4 Stefan, Luke",10,19,19,38.0,1.0-5,0-0,0,3,0,0,0,0,0,View Bio
30,"Bishop, Breck 30 Bishop, Breck",10,14,20,34.0,3.0-16,1.0-11,0,0,0,1,1,0,0,View Bio
18,"Griffin, Ajay 18 Griffin, Ajay",9,15,19,34.0,0-0,0-0,0,3,0,0,0,0,0,View Bio
43,"Williams, Peyton 43 Williams, Peyton",9,9,17,26.0,2.5-16,2.5-16,0,0,0,1,1,0,0,View Bio
98,"Chu, Travis 98 Chu, Travis",10,3,17,20.0,4.0-12,1.0-5,0,1,0,0,0,0,0,View Bio
25,"O'Malley, Finn 25 O'Malley, Finn",9,4,11,15.0,1.0-3,0-0,1,0,0,1,0,1,0,View Bio
14,"Tennicott, Brandon 14 Tennicott, Brandon",9,7,6,13.0,2.0-3,0-0,0,1,0,0,0,0,0,View Bio
21,"Wright, Dre 21 Wright, Dre",5,4,5,9.0,0-0,0-0,0,2,0,0,0,0,0,View Bio
52,"Gallivan, Jack 52 Gallivan, Jack",3,5,3,8.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
11,"Dworkin, Henry 11 Dworkin, Henry",8,1,6,7.0,1.0-3,1.0-3,0,0,0,0,0,0,0,View Bio
28,"Jones, Ty 28 Jones, Ty",7,2,4,6.0,1.5-12,1.0-12,0,0,0,0,0,0,0,View Bio
6,"Readon, CJ 6 Readon, CJ",10,4,2,6.0,0-0,0-0,0,3,0,0,0,0,0,View Bio
45,"Smith, Alex 45 Smith, Alex",7,1,4,5.0,0.5-2,0.5-2,0,0,0,0,0,0,0,View Bio
26,"Eaton, Sam 26 Eaton, Sam",10,1,3,4.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,"Gerrald, Grant  Gerrald, Grant",2,2,2,4.0,0.5-0,0-0,0,0,0,0,0,0,0,View Bio
32,"Reyes, Will 32 Reyes, Will",3,1,3,4.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
23,"Semmen, Seth 23 Semmen, Seth",3,0,4,4.0,1.0-8,0.5-6,0,0,0,0,0,0,0,View Bio
