Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
09/04/2023,Lyon,27,102,1,40,24,176,0,15,176,0,15,2,0,0,0,0,0,0,0
09/09/2023,Ripon,41,222,2,37,17,256,2,63,256,2,63,3,21,0,11,3,55,0,58
09/16/2023,Beloit,43,110,2,29,19,136,0,36,136,0,36,4,75,0,25,0,0,0,0
09/30/2023,Lawrence,40,80,0,14,21,255,2,47,255,2,47,4,6,0,5,0,0,0,0
10/07/2023,Monmouth (IL),41,356,5,82,24,364,5,48,364,5,48,2,4,0,4,3,54,0,46
10/14/2023,Lake Forest,26,115,1,16,21,346,6,63,346,6,63,1,17,0,17,3,50,0,22
10/21/2023,Knox,73,343,2,18,0,0,0,0,0,0,0,0,0,0,0,1,9,0,9
10/28/2023,Illinois Col.,34,222,2,17,21,416,8,75,416,8,75,2,38,0,19,3,64,1,20
11/04/2023,UChicago,47,254,4,60,24,317,3,41,317,3,41,3,19,0,10,4,31,0,17
11/11/2023,Cornell College,39,183,4,25,19,268,3,50,268,3,50,3,75,0,59,1,0,0,0
