Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Lyon,12-18,19/17,5/4,11/12,3/1,34-40 / 27-102,19-38-0 / 24-32-0,193/176,72-233 / 59-278,42/0,1/2
Ripon,31-12,21/23,6/14,9/8,6/1,35-92 / 41-222,12-30-1 / 17-29-1,150/256,65-242 / 70-478,101/117,1/1
Beloit,23-33,13/17,7/6,6/9,0/2,37-142 / 43-110,15-23-1 / 19-32-0,269/136,60-411 / 75-246,37/75,2/0
Lawrence,34-16,14/25,7/7,5/14,2/4,29-159 / 40-80,11-20-0 / 21-36-2,170/255,49-329 / 76-335,100/52,1/2
Monmouth (IL),6-69,8/36,2/14,2/19,4/3,32-69 / 41-356,10-18-0 / 24-31-0,67/364,50-136 / 72-720,36/58,0/1
Lake Forest,0-47,4/20,3/9,1/11,0/0,30-33 / 26-115,7-17-2 / 21-33-2,25/346,47-58 / 59-461,6/67,2/3
Knox,14-7,13/26,4/25,9/0,0/1,23-91 / 73-343,14-29-0 / 0-2-1,150/0,52-241 / 75-343,57/9,1/2
Illinois Col.,0-93,10/28,2/14,3/14,5/0,45--16 / 34-222,8-16-1 / 21-35-0,66/416,61-50 / 69-638,33/177,4/0
UChicago,48-14,14/30,5/12,8/16,1/2,26-15 / 47-254,17-32-1 / 24-47-0,210/317,58-225 / 94-571,36/50,1/0
Cornell College,51-20,21/21,2/10,18/9,1/2,24--8 / 39-183,27-47-1 / 19-27-0,366/268,71-358 / 66-451,50/75,2/1
