#,Player,NO,YDS,AVG,TD,Long,Bio Link
22.0,"Werner, Hugh 22 Werner, Hugh",2,0,0.0,0,0,View Bio
,Total,2,0,0.0,0,0,
,Opponents,18,263,14.61,1,58,
