Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
09/04/2023,Lyon,3,54,20.0,26,0,0,0,0,0,1-2,17,0,5,296,59.2,1,0
09/09/2023,Ripon,3,94,31.3,42,0,1,0,0,1,1-1,25,0,6,243,40.5,0,1
09/16/2023,Beloit,5,108,32.6,51,0,0,2,1,1,3-3,38,0,5,289,57.8,1,0
09/30/2023,Lawrence,4,143,35.8,41,0,0,1,0,1,1-1,25,0,4,120,30.0,0,1
10/07/2023,Monmouth (IL),0,0,0.0,0,0,0,0,0,0,0-0,0,0,12,606,50.5,4,0
10/14/2023,Lake Forest,2,86,43.0,52,0,1,0,1,1,0-0,0,0,8,493,61.63,3,0
10/21/2023,Knox,1,16,16.0,16,0,0,0,0,0,0-2,0,0,3,180,60.0,1,0
10/28/2023,Illinois Col.,2,104,52.0,64,0,0,0,1,2,0-0,0,0,15,599,39.93,0,1
11/04/2023,UChicago,1,35,35.0,35,0,0,0,0,1,0-1,0,0,8,318,39.75,0,2
11/11/2023,Cornell College,2,40,20.0,21,0,0,0,0,0,0-0,0,0,8,423,52.88,1,0
