#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
2.0,"Woodhouse, Grayson 2 Woodhouse, Grayson",9,88,413,212,201,2.3,4,44,22.33,View Bio
6.0,"Readon, CJ 6 Readon, CJ",10,70,210,35,175,2.5,0,29,17.5,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",10,70,190,25,165,2.4,1,25,16.5,View Bio
17.0,"Destino, Bennett 17 Destino, Bennett",8,24,120,3,117,4.9,0,33,14.63,View Bio
26.0,"Eaton, Sam 26 Eaton, Sam",10,36,93,19,74,2.1,1,8,7.4,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",10,2,20,0,20,10.0,0,16,2.0,View Bio
16.0,"Cloake, Will 16 Cloake, Will",3,2,11,0,11,5.5,0,10,3.67,View Bio
13.0,"Smith, Connor 13 Smith, Connor",3,1,5,0,5,5.0,0,5,1.67,View Bio
88.0,"West, Bradley 88 West, Bradley",7,1,2,0,2,2.0,1,2,0.29,View Bio
9.0,"Wilson, Garrett 9 Wilson, Garrett",10,1,0,3,-3,-3.0,0,0,-0.3,View Bio
18.0,"Griffin, Ajay 18 Griffin, Ajay",9,1,0,15,-15,-15.0,0,0,-1.67,View Bio
,Team  Team,10,8,0,62,-62,-7.8,0,0,-6.2,
1.0,"Baird, Henry 1 Baird, Henry",9,11,2,75,-73,-6.6,0,2,-8.11,View Bio
,Total,10,315,1066,449,617,2.0,7,44,61.7,
,Opponents,10,411,2227,240,1987,4.8,23,82,198.7,
