Stat,Value,Player/Opponent
Rushes,73,vs Knox (10/21/2023)
Yards Rushing,356,vs Monmouth (IL) (10/07/2023)
TD Rushes,5,vs Monmouth (IL) (10/07/2023)
Pass Attempts,47,vs UChicago (11/04/2023)
Pass Completions,24,vs UChicago (11/04/2023)
Yards Passing,416,vs Illinois Col. (10/28/2023)
TD Passes,8,vs Illinois Col. (10/28/2023)
