#,Player,Games Played GP
1.0,"Baird, Henry",9
35.0,"Bean, Garret",10
30.0,"Bishop, Breck",10
41.0,"Blanchard, Greyson",10
98.0,"Chu, Travis",10
76.0,"Clark, Joshua",10
16.0,"Cloake, Will",3
65.0,"Cornforth, Miles",10
17.0,"Destino, Bennett",8
11.0,"Dworkin, Henry",8
26.0,"Eaton, Sam",10
20.0,"Fitzgerald, Keaton",10
52.0,"Gallivan, Jack",3
,"Gerrald, Grant",2
12.0,"Greene, Bert",10
18.0,"Griffin, Ajay",9
62.0,"Haggerty, Sean",10
82.0,"Jackson, Hunter",9
7.0,"Johanson, Kevin",10
3.0,"Johnson, Tim",10
28.0,"Jones, Ty",7
68.0,"Kozhaya, Andrew",3
55.0,"Lawrence, TJ",10
8.0,"Morocco, Mushadda",2
94.0,"Nissen, Scott",1
46.0,"Oliveira, Casey",3
25.0,"O'Malley, Finn",9
36.0,"Quintana, David",2
24.0,"Quirk, Danny",10
6.0,"Readon, CJ",10
10.0,"Reed, Jack",6
34.0,"Reiter, Chris",9
32.0,"Reyes, Will",3
19.0,"Rhinehart, Nick",10
44.0,"Schwartzman, Juniper",1
54.0,"Self, Nick",2
23.0,"Semmen, Seth",3
50.0,"Skinner, Landon",10
45.0,"Smith, Alex",7
13.0,"Smith, Connor",3
15.0,"Smith, Noah",10
29.0,"Sniff, Kirill",1
84.0,"Spangler, Ryan",3
74.0,"Stebbins, Colby",3
4.0,"Stefan, Luke",10
33.0,"Stoller, Evan",2
80.0,"Stratton, Neal",3
69.0,"Taylor, Tyrell",10
14.0,"Tennicott, Brandon",9
40.0,"Uchino, Hero",4
85.0,"Urias Jr., Rene",1
42.0,"Walters, Luke",10
22.0,"Werner, Hugh",8
88.0,"West, Bradley",7
43.0,"Williams, Peyton",9
9.0,"Wilson, Garrett",10
2.0,"Woodhouse, Grayson",9
21.0,"Wright, Dre",5
