Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 30, 2019 (Friday)",4 p.m.,Away,St. Olaf College,,,,"L,3-2",Box Score
"September 1, 2019 (Sunday)",10:30 a.m.,Away,Carleton College,,,,"L,2-1",Box Score
"September 3, 2019 (Tuesday)",7 p.m.,Home,Edgewood College,,,,"W,1-0",Box Score
"September 7, 2019 (Saturday)",2 p.m.,Away,UW-Eau Claire,,,,"L,3-0",Box Score
"September 8, 2019 (Sunday)",Noon,Home,Lakeland Univ.,,,,"W,1-0",Box Score
"September 14, 2019 (Saturday)",2 p.m.,Home,UW-Platteville,,,,"L,1-0",Box Score
"September 15, 2019 (Sunday)",3:30 p.m.,Away,Carroll Univ.,,,,"L,2-1",Box Score
"September 21, 2019 (Saturday)",3:30 p.m.,Away,Milwaukee School of Engineering,,,,"W,1-0",Box Score
"September 25, 2019 (Wednesday)",7 p.m.,Away,UW-Oshkosh,,,,"W,2-1",Box Score
"September 28, 2019 (Saturday)",11 a.m.,Home,Monmouth College,,,,"L,2-0",Box Score
"September 29, 2019 (Sunday)",11 a.m.,Home,Knox College,,,,"L,2-0",Box Score
"October 12, 2019 (Saturday)",1 p.m.,Away,Lake Forest College,,,,"L,3-1",Box Score
"October 15, 2019 (Tuesday)",7:30 p.m.,Home,Lawrence Univ.,,,,"W,3-0",Box Score
"October 19, 2019 (Saturday)",11 a.m.,Away,Illinois College,,,,"W,6-0",Box Score
"October 20, 2019 (Sunday)",11 a.m.,Away,Grinnell College,,,,"T,1-12 OT",Box Score
"October 23, 2019 (Wednesday)",6 p.m.,Home,Ripon College,,,,"W,4-1",Box Score
"October 27, 2019 (Sunday)",1 p.m.,Home,Cornell College,,,,"W,1-0",Box Score
"November 2, 2019 (Saturday)",1 p.m.,Away,Beloit College,,,,"W,4-0",Box Score
