0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. Central White,"April 17, 2021",1,99,+29,14th/14
Simpson Invitational,"April 21, 2021",1,106,+34,41st/41
2021 SLIAC Championships,"April 26-27, 2021",3,106-116--4=222,+80,
SEASON TOTALS,SEASON TOTALS,4,427 Avg. 106.8,+36,-
