School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell^*,6-0,1.000,16-8,.667,L1,6-0,6-6,4-2
Lake Forest*,5-1,.833,11-10,.524,W1,3-2,6-3,2-5
Lawrence*,4-2,.667,5-6,.455,L2,2-2,3-3,0-1
Illinois Col.*,3-3,.500,6-13,.316,L2,3-4,3-7,0-2
Cornell College,2-4,.333,11-11,.500,W1,5-5,3-5,3-1
Ripon,1-5,.167,3-10,.231,L3,0-6,3-3,0-1
Monmouth (IL),0-6,.000,1-9,.100,L7,1-6,0-3,0-0
