School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell*^,6-0,1.000,9-0,1.000,W9,3-0,4-0,2-0
Lake Forest*,5-1,.833,9-1,.900,L1,2-1,6-0,1-0
Cornell College*,4-2,.667,8-3,.727,L1,5-2,3-1,0-0
Illinois Col.*,3-3,.500,12-6,.667,L1,6-2,5-4,1-0
Lawrence,2-4,.333,4-8,.333,L4,1-4,3-4,0-0
Monmouth (IL),1-5,.167,1-9,.100,L3,1-5,0-4,0-0
Ripon,0-6,.000,1-13,.071,L8,0-3,1-9,0-1
