School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell# *,9-0,1.000,12-0,1.000,W12,9-0,3-0,0-0
Lake Forest*,8-1,.889,13-5,.722,L2,7-0,4-3,2-2
St. Norbert College*,7-2,.778,8-4,.667,W3,4-2,4-2,0-0
Lawrence*,6-3,.667,8-7,.533,L2,4-2,3-4,1-1
Cornell College,5-4,.556,9-8,.529,W1,3-5,4-1,2-2
Monmouth (IL),4-5,.444,6-8,.429,L2,2-5,4-3,0-0
Illinois Col.,3-6,.333,6-7,.462,L1,5-5,1-2,0-0
Beloit,2-7,.222,3-7,.300,L2,2-2,1-5,0-0
Ripon,1-8,.111,2-10,.167,L7,2-6,0-4,0-0
Knox,0-9,.000,2-11,.154,L4,0-5,1-5,1-1
