School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest#,5-0,1.000,7-2,.778,L1,3-0,3-1,1-1
St. Norbert College,3-3,.500,3-3,.500,L1,2-1,1-2,0-0
Cornell College,0-5,.000,4-10,.286,L6,3-5,1-5,0-0
Grinnell#,5-0,1.000,7-1,.875,L1,3-0,2-0,2-1
Illinois Col.,3-3,.500,4-10,.286,L1,2-5,2-5,0-0
Monmouth (IL),0-5,.000,0-5,.000,L5,0-2,0-3,0-0
