School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest#*,9-0,1.000,22-4,.846,L1,9-3,6-0,7-1
Grinnell*,8-1,.889,16-9,.640,W1,6-3,5-3,5-3
Cornell College*,7-2,.778,11-8,.579,L3,7-2,3-5,1-1
St. Norbert College*,6-3,.667,11-15,.423,L7,5-9,5-3,1-3
Ripon,5-4,.556,8-4,.667,W1,1-3,7-1,0-0
Monmouth (IL),4-5,.444,5-7,.417,L2,3-4,1-3,1-0
Lawrence,2-7,.222,4-9,.308,L3,2-4,2-3,0-2
Illinois Col.,2-7,.222,5-12,.294,L5,1-4,3-7,1-1
Beloit,2-7,.222,3-10,.231,L3,1-4,1-4,1-2
Knox,0-9,.000,1-14,.067,L4,1-7,0-6,0-1
