School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell*#,9-0,1.000,15-7,.682,W1,6-1,7-1,2-5
St. Norbert College*,8-1,.889,23-12,.657,L1,11-6,6-4,6-2
Cornell College*,7-2,.778,18-7,.720,L2,5-2,9-2,4-3
Lake Forest*,6-3,.667,10-10,.500,L2,6-4,4-2,0-4
Lawrence,5-4,.556,7-9,.438,W1,2-3,4-3,1-3
Knox,4-5,.444,5-16,.238,L5,3-8,2-7,0-1
Ripon,3-6,.333,6-12,.333,L5,2-7,4-5,0-0
Illinois Col.,2-7,.222,3-9,.250,L1,0-3,3-6,0-0
Monmouth (IL),1-8,.111,1-13,.071,L1,0-10,1-3,0-0
Beloit,0-9,.000,0-18,.000,L18,0-9,0-8,0-1
