School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell*#,9-0,1.000,19-5,.792,L1,8-0,5-1,6-4
Lake Forest*,8-1,.889,23-3,.885,L1,11-0,9-2,3-1
Cornell College*,7-2,.778,12-8,.600,L1,6-1,3-5,3-2
St. Norbert College*,6-3,.667,15-14,.517,L3,5-5,5-4,5-5
Knox,5-4,.556,7-11,.389,W1,3-5,4-6,0-0
Lawrence,4-5,.444,6-11,.353,L3,3-5,2-5,1-1
Monmouth (IL),3-6,.333,4-13,.235,L1,2-4,2-7,0-2
Illinois Col.,2-7,.222,6-10,.375,L1,2-6,3-4,1-0
Ripon,1-8,.111,3-17,.150,L11,1-9,2-7,0-1
Beloit,0-9,.000,0-17,.000,L17,0-10,0-7,0-0
