Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 17, 1983 (Saturday)",10 am,Away,Wheaton (Ill.),,,,"L,0-2",
"September 17, 1983 (Saturday)",2 pm,Neutral,Rockford,Wheaton,,,"W,2-1",
"September 18, 1983 (Sunday)",12 pm,Neutral,Triton,Wheaton,,,"W,2-0",
"September 23, 1983 (Friday)",,Neutral,North Park,Ill. Tech,,,"W,3-1",
"September 24, 1983 (Saturday)",10 am,Neutral,Chicago St.,Ill. Tech,,,"L,0-2",
"September 24, 1983 (Saturday)",12 pm,Neutral,Trinity Christian,Ill. Tech,,,"L,0-2",
"September 27, 1983 (Tuesday)",,Home,Trinity Int'l.,,,,"W,3-0",
"September 29, 1983 (Thursday)",,Home,Aurora,,,,"W,3-1",
"September 30, 1983 (Friday)",,Home,Cornell,,,,"W,3-1",
"October 1, 1983 (Saturday)",10 am,Home,Triton,,,,"W,2-0",
"October 1, 1983 (Saturday)",2 pm,Home,Lawrence,,,,"W,3-0",
"October 4, 1983 (Tuesday)",,Away,Northeastern Illinois,,,,"L,0-2",
"October 8, 1983 (Saturday)",10 am,Away,Ripon,,,,"L,1-2",
"October 8, 1983 (Saturday)",2 pm,Neutral,St. Norbert,Ripon,,,"L,1-3",
"October 11, 1983 (Tuesday)",,Home,North Park,,,,"W,3-1",
"October 13, 1983 (Thursday)",6 pm,Away,Carroll,,,,"L,0-2",
"October 13, 1983 (Thursday)",8 pm,Neutral,Beloit,Carroll,,,"W,2-1",
"October 18, 1983 (Tuesday)",,Home,Beloit,,,,"W,3-0",
"October 21, 1983 (Friday)",6 pm,Neutral,Wis.-Oshkosh,Carthage,,,"L,0-2",
"October 21, 1983 (Friday)",8 pm,Neutral,Carroll,Carthage,,,"L,0-2",
"October 22, 1983 (Saturday)",10 am,Away,Carthage,,,,"W,2-1",
"October 22, 1983 (Saturday)",2 pm,Neutral,Aurora,Carthage,,,"L,1-2",
"October 27, 1983 (Thursday)",,Away,Chicago,,,,"W,3-1",
"November 1, 1983 (Tuesday)",,Away,Rosary,,,,"W,3-0",
"November 5, 1983 (Saturday)",10 am,Neutral,Cornell,Coe,,,"L,0-3",
"November 5, 1983 (Saturday)",2 pm,Away,Coe,,,,"L,0-3",
