0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Early Bird Classic,"Aug 28, 2016",1,97,+25,25th/41
Dual vs. William Penn,"Sep 3, 2016",1,84,+12,t-9th/16
Wartburg Women's Golf Fall Invite,"Sep 10-11, 2016",2,82-85=167,+23,t-38th/87
D3 Classic,"Sep. 17-18, 2016",2,83-87=170,+26,38th/93
Illinois Wesleyan Univ. Fall Classic,"Sep 24-25, 2016",2,84-99=183,+39,t-64th/74
2016 MWC Women's Golf Championships,"Oct, 7-9, 2016",3,91-89-91=271,+52,8th/36
Grinnell vs. SCAD Savannah Dual,"Mar 26, 2017",1,86,+14,9th/12
Washington Univ. Spring Invite,"Apr 8-9, 2017",2,98-82=180,+40,t-72nd/87
SEASON TOTALS,SEASON TOTALS,14,1238 Avg. 88.4,+17,-
