0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Early Bird Classic,"Aug 28, 2016",1,74,+2,1st/41
Dual vs. William Penn,"Sep 3, 2016",1,80,+8,t-2nd/16
Wartburg Women's Golf Fall Invite,"Sep 10-11, 2016",2,78-74=152,+8,5th/87
D3 Classic,"Sep. 17-18, 2016",2,74-74=148,+4,t-3rd/93
Illinois Wesleyan Univ. Fall Classic,"Sep 24-25, 2016",2,76-78=154,+10,t-8th/74
2016 MWC Women's Golf Championships,"Oct, 7-9, 2016",3,74-74-73=221,+2,1st/36
Grinnell vs. SCAD Savannah Dual,"Mar 26, 2017",1,75,+3,t-2nd/12
Washington Univ. Spring Invite,"Apr 8-9, 2017",2,75-75=150,+10,t-4th/87
SEASON TOTALS,SEASON TOTALS,14,1054 Avg. 75.3,+3,-
