0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Early Bird Classic,"Aug 28, 2016",1,85,+13,t-6th/41
Dual vs. William Penn,"Sep 3, 2016",1,83,+11,t-7th/16
Wartburg Women's Golf Fall Invite,"Sep 10-11, 2016",2,91-84=175,+31,t-61st/87
D3 Classic,"Sep. 17-18, 2016",2,92-82=174,+30,t-44th/93
Illinois Wesleyan Univ. Fall Classic,"Sep 24-25, 2016",2,83-86=169,+25,t-44th/74
2016 MWC Women's Golf Championships,"Oct, 7-9, 2016",3,96-83-91=270,+51,7th/36
SEASON TOTALS,SEASON TOTALS,11,956 Avg. 86.9,+15,-
