0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Early Bird Classic,"Aug 28, 2016",1,75,+3,2nd/41
Dual vs. William Penn,"Sep 3, 2016",1,71,-1,1st/16
Wartburg Women's Golf Fall Invite,"Sep 10-11, 2016",2,71-75=146,+2,2nd/87
D3 Classic,"Sep. 17-18, 2016",2,72-75=147,+3,t-1st/93
Illinois Wesleyan Univ. Fall Classic,"Sep 24-25, 2016",2,70-70=140,-4,1st/74
2016 MWC Women's Golf Championships,"Oct, 7-9, 2016",3,75-77-80=232,+13,2nd/36
Grinnell vs. SCAD Savannah Dual,"Mar 26, 2017",1,76,+4,t-4th/12
Washington Univ. Spring Invite,"Apr 8-9, 2017",2,76-77=153,+13,11th/87
SEASON TOTALS,SEASON TOTALS,14,1040 Avg. 74.3,+2,-
