Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Goldstein, Sam",SR-4,12.87m,"42' 2.75""",MidWest Conference Championship,"Feb 25, 2011",0.0
,"Johnson, Luke",,12.65m,"41' 6""",MidWest Conference Championship,"Feb 25, 2011",0.0
