0,1,2,3
Grinnell College,325,37,t-11th
Hayden Somach,80,8,t-45th
Ian Strawn,80,8,t-45th
Luke McCann,82,10,t-59th
Eshaan Sethi,83,11,t-65th
Kevin Carpenter,89,17,t-85th
John Robinson#,94,22,96th
Brody Barton#,95,23,t-97th
Lukas Roscoe#,100,28,100th
