0,1,2,3
Grinnell &quot;A&quot;,331,47,t-7th
Ian Strawn,80,9,t-14th
Brody Barton,82,11,t-19th
Evan Borberg,82,11,t-19th
Luke McCann,82,11,t-19th
Kevin Carpenter,83,12,t-27th
Hayden Somach,86,15,t-38th
Josh Witte,88,17,t-46th
Ben Schwartz,89,18,t-53rd
Alex Love,91,20,t-59th
John Robinson,91,20,t-59th
