0,1,2,3
Grinnell College,318,34,12th
John Robinson#,76,5,t-32nd
Luke McCann,77,6,t-42nd
Brody Barton#,78,7,t-47th
Kevin Carpenter,79,8,t-52nd
Eshaan Sethi,80,9,t-58th
Ian Strawn,82,11,t-69th
Hayden Somach,84,13,77th
Lukas Roscoe#,95,24,t-86th
