0,1,2,3
Grinnell College,314,34,2nd
Eshaan Sethi,75,5,t-5th
Luke McCann,77,7,8th
Hayden Somach,81,11,t-9th
Ian Strawn,81,11,t-9th
Kevin Carpenter,83,13,11th
John Robinson#,89,19,12th
Brody Barton#,94,24,13th
Lukas Roscoe#,104,34,14th
