Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 30, 2024 (Friday)",1:30 PM CT,Home,Lawrence,"Chicago, IL | Ratner Athletics Center",,,2024 Rosalie Resch Invitational - Hosted by UChicago,"W,3-0",Box ScoreRecap
"August 30, 2024 (Friday)",6:30 PM CT,Home,Loras,"Chicago, IL | Ratner Athletics Center",,,2024 Rosalie Resch Invitational - Hosted by UChicago,"W,3-0",Box ScoreRecap
"August 31, 2024 (Saturday)",12:30 PM CT,Home,Carleton,"Chicago, IL | Ratner Athletics Center",,,2024 Rosalie Resch Invitational - Hosted by UChicago,"W,3-2",Box ScoreRecap
"August 31, 2024 (Saturday)",3 PM CT,Home,St. Olaf,"Chicago, IL | Ratner Athletics Center",,,2024 Rosalie Resch Invitational - Hosted by UChicago,"W,3-1",Box ScoreRecap
"September 4, 2024 (Wednesday)",7 PM CT,Away,Carthage,"Kenosha, WI",,,,"W,3-0",Box ScoreRecap
"September 6, 2024 (Friday)",1 PM CT,Home,William Smith,"Chicago, IL | Ratner Athletics Center",,,2024 Gargoyle Classic - Hosted by UChicago,"W,3-1",Box ScoreRecap
"September 6, 2024 (Friday)",7 PM CT,Home,Mount St. Joseph,"Chicago, IL | Ratner Athletics Center",,,2024 Gargoyle Classic - Hosted by UChicago,"W,3-1",Box ScoreRecap
"September 7, 2024 (Saturday)",1:30 PM CT,Home,Millikin,"Chicago, IL | Ratner Athletics Center",,,2024 Gargoyle Classic - Hosted by UChicago,"L,1-3",Box ScoreRecap
"September 10, 2024 (Tuesday)",7 PM CT,Away,Lakeland,"Plymouth, WI",,,,"W,3-0",Box ScoreRecap
"September 13, 2024 (Friday)",7 PM CT,Away,UW-Eau Claire,"Eau Claire, WI",,,2024 Sandy Schumacher Memorial Tournament - Hosted by UW-Eau Claire,"L,1-3",Box ScoreRecap
"September 14, 2024 (Saturday)",2 PM CT,Neutral,St. Catherine,"Eau Claire, WI",,,2024 Sandy Schumacher Memorial Tournament - Hosted by UW-Eau Claire,"W,3-0",Box ScoreRecap
"September 14, 2024 (Saturday)",4 PM CT,Neutral,Concordia (MN),"Eau Claire, WI",,,2024 Sandy Schumacher Memorial Tournament - Hosted by UW-Eau Claire,"W,3-1",Box ScoreRecap
"September 20, 2024 (Friday)",5 PM CT,Neutral,Alma,"Albion, MI",,,2024 Albion Invitational - Hosted by Albion College,"W,3-0",Box ScoreRecap
"September 21, 2024 (Saturday)",12 PM CT,Neutral,Baldwin Wallace,"Albion, MI",,,2024 Albion Invitational - Hosted by Albion College,"W,3-0",Box ScoreRecap
"September 21, 2024 (Saturday)",4:30 PM CT,Away,Albion,"Albion, MI",,,2024 Albion Invitational - Hosted by Albion College,"W,3-0",Box ScoreRecap
"September 25, 2024 (Wednesday)",6 PM CT,Home,#18 Calvin,"Chicago, IL | Ratner Athletics Center",,,,"W,3-0",Box ScoreRecap
"September 28, 2024 (Saturday)",11 AM ET,Neutral,Brandeis,"New York, NY",,,2024 UAA Round Robin #1 - Hosted by NYU,"W,3-0",Box ScoreRecap
