0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Vidushi Sinha,14,1040,70,5,8,3,7,7,+2,74.3,25,1900,76.0
Vrishali Sinha,14,1054,73,1,8,2,7,8,+3,75.3,25,1894,75.8
Sam Nakahira,11,956,82,-,6,-,-,3,+15,86.9,23,1998,86.9
Julia Echikson,14,1238,82,-,8,-,-,3,+17,88.4,11,972,88.4
Lauren Yi,9,800,84,-,5,-,-,1,+17,88.9,33,3012,91.3
Anisha Agarwalla,9,804,80,-,6,-,2,2,+17,89.3,14,1266,90.4
Samanike Hengst,4,361,83,-,3,-,-,1,+18,90.3,26,2368,91.1
Arina Kim,9,821,86,-,6,-,-,-,+20,91.2,6,532,88.7
FOUR-PLAYER TEAM,14,4536,313,6,8,5,16,25,+36,324.0,,,
