Date,Opponent,Result,Score,Record,Duration,Attendance
9/7/2019,vs Lawrence,L,0-28,0-1,2:41,382
9/14/2019,at Lake Forest,L,0-44,0-2,2:26,1050
9/28/2019,vs Macalester,L,3-42,0-3,2:18,423
,,,,,,1855
