#,Player,NO,YDS,AVG,TD,Long,Bio Link
3.0,"Kargbo, Sal 3 Kargbo, Sal",1,8,8.0,0,6,View Bio
,Total,1,8,8.0,0,6,
,Opponents,5,93,18.6,1,85,
