Stat,Value,Player/Opponent
Rushes,12,D'Andre Weaver vs Lawrence (9/7/2019)
Yards Rushing,121,Wasonu Allen vs Lawrence (9/7/2019)
TD Rushes,1,Wasonu Allen vs Lawrence (9/7/2019)
,1,Prince Mukuna vs Lawrence (9/7/2019)
,1,Peter Bukszar vs Lawrence (9/7/2019)
,1,Michael Nadeau vs Macalester (9/28/2019)
,1,Kai Akimoto vs Macalester (9/28/2019)
,1,Alex Adams II vs Lake Forest (9/14/2019)
,1,Armani Brown vs Lake Forest (9/14/2019)
,1,Stone Matthews vs Lake Forest (9/14/2019)
Long Rush,47,Wasonu Allen vs Lawrence (9/7/2019)
Pass Attempts,16,D'Andre Weaver vs Lawrence (9/7/2019)
Pass Completions,7,D'Andre Weaver vs Lawrence (9/7/2019)
Yards Passing,209,Bill Degnan vs Lake Forest (9/14/2019)
TD Passes,2,Michael Nadeau vs Macalester (9/28/2019)
,2,Bill Degnan vs Lake Forest (9/14/2019)
Longest Pass,82,Bill Degnan vs Lake Forest (9/14/2019)
Receptions,3,Nick Pastrone vs Lawrence (9/7/2019)
Yards Receiving,82,A.J. Jackson vs Lake Forest (9/14/2019)
TD Receptions,1,Nick Pastrone vs Lawrence (9/7/2019)
,1,Peter Vitalis vs Macalester (9/28/2019)
,1,Brody Fuller vs Macalester (9/28/2019)
,1,Rex Desso vs Macalester (9/28/2019)
,1,Brendon Hodges vs Macalester (9/28/2019)
,1,A.J. Jackson vs Lake Forest (9/14/2019)
,1,Cooper Tomlin vs Lake Forest (9/14/2019)
Longest Reception,82,A.J. Jackson vs Lake Forest (9/14/2019)
Field Goals,1,Michael Bounds vs Lake Forest (9/14/2019)
Longest Field Goal,37,Michael Bounds vs Lake Forest (9/14/2019)
Punts,2,Brandon Hurt vs Lawrence (9/7/2019)
,2,Logan Persson vs Lake Forest (9/14/2019)
Longest Punt,51,Michael Bounds vs Lake Forest (9/14/2019)
Longest Punt Return,85,A.J. Jackson vs Lake Forest (9/14/2019)
Longest Kickoff Return,60,A.J. Jackson vs Lake Forest (9/14/2019)
Tackles,13,Jaxon Stratton vs Lawrence (9/7/2019)
Interceptions,1,Jaxon Stratton vs Lawrence (9/7/2019)
,1,Dean Smith vs Macalester (9/28/2019)
,1,Sam Jakshtis vs Macalester (9/28/2019)
