Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/7/2019,Lawrence,L,0-28,3,0,0,0,0,0,0,0,1,1,1,0,0
9/14/2019,Lake Forest,L,0-44,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2019,Macalester,L,3-42,3,1,3,0,0,0,1,0,1,1,0,0,0
,TOTALS,,,6,1,3,0,0,0,1,0,2,2,1,0,0
