Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,1.00,38.00
Total TOT,3,114
First Downs,First Downs,First Downs
Rushing RUSH,22,30
Passing PASS,12,18
Penalty PEN,8,5
Total TOT,42,53
Rushing,Rushing,Rushing
Yards Gained YDS,382,688
Yards Lost YDL,113,92
Attempts ATT,110,105
Average Per Attempt AVG/ATT,2.4,5.7
Avg. Per Game AVG/G,89.7,198.7
Touchdowns TDS,0,8
Total TOT,269,596
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,76-34-3,44-25-0
Avg. Per Attempt AVG/ATT,3.82,11.98
Avg. Per Game AVG/G,96.67,175.67
Touchdowns TDS,0,7
Total TOT,290,527
Total Offense,Total Offense,Total Offense
Total Plays TOT,186,149
Avg. Per Play AVG/P,3.0,7.5
Avg. Per Game AVG/G,186.3,374.3
Total Yards TOT YDS,559,1123
Touchdowns TDS,0,16
Returns,Returns,Returns
Kickoff: Average KO: AVG,16.07,31.67
Kickoff: Total KO: TOT,14-225,3-95
Punt: Average P: AVG,8.00,18.60
Punt: Total P: TOT,1-8,5-93
INT: Average INT: AVG,0.00,18.67
INT: Total INT: TOT,0-0,3-56
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,30.00,34.75
Punt: Net Average P: Net AVG,24.53,31.25
Punt: Total Yards P: YDS,17-510,8-278
FG: Good-Attempts FG: FGM-FGA,1-1,1-2
Onside Kicks Onside K,0-0,0-0
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,42.00,60.67
Total-Yards TOT/YDS,13-126,18-182
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,34:20,25:40
Total TOT,01:42:59,01:17:01
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,14-43 (32.56 %),9-22 (40.91 %)
4th Down Conversions 4th %,1-7 (14.29 %),2-4 (50.00 %)
Fumbles-Lost FUM-Lost,5-4,4-3
Sacks-Yards Lost SCK YDS,6-51,7-28
PAT: Good-Attempts PAT,0-0,15-15
Misc. Yards MISC YDS,0,0
Red Zone: Attempts-Scores RZ: ATT-Score,1-6,9-10
Red Zone: Touchdowns RZ: TDS,0-6,8-10
