#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
6.0,"Hill, Max 6 Hill, Max",3,10,102,10.2,0,24,34.0,View Bio
33.0,"Carter, Danny 33 Carter, Danny",3,8,85,10.63,0,21,28.33,View Bio
8.0,"Taylor, David 8 Taylor, David",3,6,55,9.17,0,20,18.33,View Bio
25.0,"Saia, Dustin 25 Saia, Dustin",1,5,23,4.6,0,8,23.0,View Bio
14.0,"Morri, Ricky 14 Morri, Ricky",3,1,16,16.0,0,16,5.33,View Bio
11.0,"Burton, Clayton 11 Burton, Clayton",3,2,5,2.5,0,4,1.67,View Bio
22.0,"Gubner, Kevin 22 Gubner, Kevin",3,1,2,2.0,0,2,0.67,View Bio
13.0,"Tanikawa, Bryce 13 Tanikawa, Bryce",3,1,2,2.0,0,2,0.67,View Bio
,Total,3,34,290,8.53,0,24,96.67,
,Opponents,3,25,527,21.08,7,82,175.67,
