#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
33.0,"Carter, Danny 33 Carter, Danny",3,79,305,36,269,3.4,0,15,89.67,View Bio
10.0,"Hootstein, Avery 10 Hootstein, Avery",2,12,46,28,18,1.5,0,11,9.0,View Bio
6.0,"Hill, Max 6 Hill, Max",3,6,15,1,14,2.3,0,6,4.67,View Bio
2.0,"Terry, Loyal 2 Terry, Loyal",1,2,2,0,2,1.0,0,1,2.0,View Bio
22.0,"Gubner, Kevin 22 Gubner, Kevin",3,1,1,0,1,1.0,0,1,0.33,View Bio
1.0,"Siff, Matt 1 Siff, Matt",3,9,13,17,-4,-0.4,0,7,-1.33,View Bio
,Team  Team,3,1,0,31,-31,-31.0,0,0,-10.33,
,Total,3,110,382,113,269,2.4,0,15,89.67,
,Opponents,3,105,688,92,596,5.7,8,47,198.67,
