#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
1.0,"Siff, Matt 1 Siff, Matt",3,77.71,20,41,1,48.78 %,165,0,21,55.0,View Bio
10.0,"Hootstein, Avery 10 Hootstein, Avery",2,58.57,14,35,2,40.00 %,125,0,24,62.5,View Bio
,Total,3,68.89,34,76,3,44.74 %,290,0,24,96.67,
,Opponents,3,209.93,25,44,0,56.82 %,527,7,82,175.67,
