#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
9,"McCray, Jelani 9 McCray, Jelani",3,12,7,19.0,0.5-2,0-0,0,0,0,1,0,0,0,View Bio
34,"Johnson, Anthony 34 Johnson, Anthony",3,11,7,18.0,1.5-10,0-0,0,0,0,1,1,0,0,View Bio
45,"Johnson, Rick 45 Johnson, Rick",3,12,5,17.0,3.0-14,1.0-10,0,1,0,0,0,0,0,View Bio
55,"Howard, Luke 55 Howard, Luke",3,9,4,13.0,3.5-10,0.5-4,0,1,0,1,1,0,0,View Bio
15,"Kamimura, Marco 15 Kamimura, Marco",3,4,7,11.0,0-0,0-0,0,2,0,0,0,0,0,View Bio
3,"Kargbo, Sal 3 Kargbo, Sal",3,6,5,11.0,0-0,0-0,0,2,0,0,0,0,0,View Bio
TM,Team TM Team,3,8,1,9.0,3.0-7,0-0,0,0,0,0,1,0,0,
17,"Bukowski, Lucas 17 Bukowski, Lucas",3,5,3,8.0,1.0-10,1.0-10,0,0,0,0,0,0,0,View Bio
13,"Tanikawa, Bryce 13 Tanikawa, Bryce",3,4,4,8.0,0-0,0-0,0,2,0,0,1,0,0,View Bio
51,"Nissen, Scott 51 Nissen, Scott",3,5,2,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
4,"Morocco, Mu 4 Morocco, Mu",3,4,2,6.0,1.0-5,1.0-5,0,0,0,0,0,0,0,
75,"Doulaveris, Zis 75 Doulaveris, Zis",3,3,2,5.0,2.5-16,1.5-11,0,0,0,0,0,0,0,
66,"Henehan, Tom 66 Henehan, Tom",2,3,1,4.0,1.0-11,1.0-11,0,0,0,0,0,0,0,View Bio
11,"Burton, Clayton 11 Burton, Clayton",3,1,2,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
67,"Pero, Nick 67 Pero, Nick",3,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
14,"Morri, Ricky 14 Morri, Ricky",3,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
24,"Goldammer, Pat 24 Goldammer, Pat",3,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,
6,"Hill, Max 6 Hill, Max",3,1,0,1.0,0-0,0-0,0,1,0,0,0,0,0,View Bio
57,"Porter, Luke 57 Porter, Luke",1,1,0,1.0,1.0-5,0-0,0,0,0,0,0,0,0,View Bio
62,"Wagner, Gavin 62 Wagner, Gavin",3,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,3,95,52,147.0,18.0-90,6.0-51,0,9,0,3,4,0,0,
,Opponents,3,132,48,180.0,21.0-113,7.0-35,3,11,0,4,4,0,0,
