Stat,Value,Player/Opponent
Rushes,31.0,Daniel Carter vs Macalester (9/28/2019)
Yards Rushing,138.0,Daniel Carter vs Macalester (9/28/2019)
Long Rush,15.0,Daniel Carter vs Lawrence (9/7/2019)
Pass Attempts,22.0,Matt Siff vs Lawrence (9/7/2019)
Pass Completions,11.0,Matt Siff vs Lawrence (9/7/2019)
Yards Passing,94.0,Avery Hootstein vs Macalester (9/28/2019)
Longest Pass,24.0,Avery Hootstein vs Macalester (9/28/2019)
Receptions,5.0,David Taylor vs Lawrence (9/7/2019)
,5.0,Max Hill vs Lake Forest (9/14/2019)
,5.0,Dustin Saia vs Lake Forest (9/14/2019)
Yards Receiving,51.0,David Taylor vs Lawrence (9/7/2019)
Longest Reception,24.0,Max Hill vs Macalester (9/28/2019)
Field Goals,1.0,Ricky Morri vs Macalester (9/28/2019)
Longest Field Goal,33.0,Ricky Morri vs Macalester (9/28/2019)
Punts,6.0,Patrick Goldammer vs Lake Forest (9/14/2019)
Punting Average,32.6,Patrick Goldammer vs Lawrence (9/7/2019)
Longest Punt,40.0,Patrick Goldammer vs Lawrence (9/7/2019)
Longest Punt Return,6.0,Sal Kargbo vs Macalester (9/28/2019)
Longest Kickoff Return,35.0,Sal Kargbo vs Lawrence (9/7/2019)
Tackles,11.0,Rick Johnson vs Macalester (9/28/2019)
Tackles For Loss,2.5,Luke Howard vs Lake Forest (9/14/2019)
