0,1,2,3,4,5,6,7
Grinnell College,314,315,306,321,1256,104,13th
Lauren Chen,78,80,74,78,310,22,t-43rd
Vidushi Keni,80,73,82,75,310,22,t-43rd
Amy Nguyen,81,85,71,84,321,33,64th
Emily Lackershire,79,77,83,84,323,35,t-65th
Kavya Keshav,77,88,79,84,328,40,t-72nd
