0,1,2,3
Grinnell College,,,
Kavya Keshav,75.0,4.0,1st
Parker Perry,77.0,6.0,t-2nd
Amy Nguyen,80.0,9.0,4th
Saya Geisendorfer,83.0,12.0,6th
Mary Li,92.0,21.0,8th
