0,1,2,3,4,5,6
Grinnell College,303,296,308,907,43,1st
Meilin Hoshino,71,66,75,212,-4,1st
Emily Lackershire#,71,75,74,220,4,2nd
Vidushi Keni,74,77,78,229,13,3rd
Mary Li#,76,75,79,230,14,4th
Amy Nguyen#,74,77,81,232,16,t-5th
Lauren Chen,79,77,77,233,17,7th
Kavya Keshav,79,76,79,234,18,8th
Saya Geisendorfer,79,82,78,239,23,11th
Parker Perry#,81,82,82,245,29,15th
