Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Miller, Eloise",SR-4,27.12,UW-Platteville Final Qualifying Meet,"Mar 6, 2015",0.0
,"Miller, Eloise",JR-3,27.69,Grinnell Indoor Invitational,"Feb 7, 2015",0.0
,"Williams, Alexus",SO-2,29.08,Midwest Conference Indoor Championships,"Feb 27, 2015",0.0
,"Carpenter, Becca",JR-3,29.71,Grinnell Indoor Invitational,"Feb 7, 2015",0.0
,"Schmiechen, Alex",JR-3,31.16,Grinnell Indoor Invitational,"Feb 7, 2015",0.0
,"Schmiechen, Alex",SO-2,31.21,Midwest Conference Indoor Championships,"Feb 27, 2015",0.0
,"Hanley, Elinor",FR-1,31.62,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015",0.0
,"Hanley, Elinor",FR-1,31.75,Wartburg Indoor Invite,"Feb 21, 2015",0.0
,"Hanley, Elinor",,31.96,Grinnell Indoor Invitational,"Feb 7, 2015",0.0
,"Hanley, Elinor",,32.13,2015 Hilltop Invite,"Jan 31, 2015",0.0
,"Schmiechen, Zoe",,33.45,Grinnell Indoor Invitational,"Feb 7, 2015",0.0
,"Schmiechen, Zoe",SO-2,33.54,Wartburg Indoor Invite,"Feb 21, 2015",0.0
,"Hanley, Elinor",FR-1,37.43,Midwest Conference Indoor Championships,"Feb 27, 2015",0.0
