Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Clennon, Emily",,28.37,MidWest Conference Championship,"Feb 25, 2011",0.0
,"Miller, Isabelle",,28.37,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Clennon, Emily",,28.42,Darren Young Classic,"Feb 11, 2011",0.0
,"Miller, Isabelle",,28.69,Hilltop Invitational,"Feb 5, 2011",0.0
,"Clennon, Emily",,28.73,Hilltop Invitational,"Feb 5, 2011",0.0
,"Clennon, Emily",,28.79,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Olsen, Maia",,29.59,MidWest Conference Championship,"Feb 25, 2011",0.0
,"Olsen, Maia",,30.21,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Kwong, Allegra",SR-4,30.88,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Olsen, Maia",,31.14,Hilltop Invitational,"Feb 5, 2011",0.0
,"Kwong, Allegra",SR-4,31.23,Darren Young Classic,"Feb 11, 2011",0.0
,"Kwong, Allegra",SR-4,31.96,Hilltop Invitational,"Feb 5, 2011",0.0
,"Fenster, Katie",,33.29,MidWest Conference Championship,"Feb 25, 2011",0.0
