Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/1/2018,Lawrence University,7,211,20.1,39,1,0,0,0,1,0-0,,0,3,137,45.67,0,0
9/8/2018,Trinity Bible Coll.,3,68,21.25,26,0,0,1,0,2,0-0,,0,8,394,49.25,1,0
9/22/2018,St. Norbert College,11,321,24.2,54,2,0,0,1,1,0-0,,0,1,39,39.0,0,0
9/29/2018,Ripon College,5,183,36.6,43,0,0,1,0,0,0-0,,0,3,152,50.67,0,0
10/6/2018,Monmouth College,11,370,33.6,43,0,1,2,0,0,0-0,,0,1,40,40.0,0,0
10/13/2018,Knox College,6,142,14.2,37,1,0,2,0,1,0-0,,0,2,116,58.0,0,0
10/20/2018,Lake Forest College,8,199,24.9,38,0,0,2,0,0,0-0,,0,1,49,49.0,0,0
10/27/2018,Illinois College,3,86,28.7,37,0,0,1,0,0,0-0,,0,3,140,46.67,0,0
11/3/2018,Cornell College,7,189,27.0,36,0,0,2,0,2,0-0,,0,3,57,19.0,0,0
11/10/2018,Beloit,1,33,33.0,33,0,0,0,0,0,0-0,,0,7,360,51.43,0,0
