#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
12.0,"Kaplinski, Jake 12 Kaplinski, Jake",10,94.83,134,288,10,46.53 %,1462,11,63,146.2,View Bio
1.0,"Siff, Matt 1 Siff, Matt",6,92.95,5,11,1,45.45 %,86,0,54,14.33,View Bio
7.0,"Headrick, Connor 7 Headrick, Connor",4,77.67,5,11,1,45.45 %,66,0,32,16.5,View Bio
25.0,"Saia, Dustin 25 Saia, Dustin",10,150.4,1,1,0,100.00 %,6,0,6,0.6,View Bio
,Total,10,94.33,145,311,12,46.62 %,1620,11,63,162.0,
,Opponents,10,126.64,134,250,7,53.60 %,1594,19,72,159.4,
