#,Player,NO,YDS,AVG,TD,Long,Bio Link
26.0,"Lim, Ben 26 Lim, Ben",5,47,9.4,0,35,View Bio
6.0,"Hill, Max 6 Hill, Max",2,43,21.5,0,35,View Bio
25.0,"Saia, Dustin 25 Saia, Dustin",1,33,33.0,1,33,View Bio
33.0,"Carter, Danny 33 Carter, Danny",1,10,10.0,0,10,View Bio
4.0,"Keele, Jeff 4 Keele, Jeff",1,5,5.0,0,0,View Bio
,Total,10,138,13.8,1,35,
,Opponents,22,288,13.09,3,66,
