Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/1/2018,Lawrence University,44,219,2,22,9,96,0,28,96,0,28,3,53,0,23,3,30,0,18
9/8/2018,Trinity Bible Coll.,23,-25,0,33,9,59,0,21,59,0,21,7,120,0,33,0,0,0,0
9/22/2018,St. Norbert College,50,372,6,34,8,102,2,20,102,2,20,1,8,0,8,5,68,1,23
9/29/2018,Ripon College,55,344,4,27,5,99,2,64,99,2,64,2,17,0,10,4,93,1,66
10/6/2018,Monmouth College,44,363,4,39,15,215,4,72,215,4,72,1,18,0,18,4,25,0,11
10/13/2018,Knox College,38,154,1,48,19,178,2,25,178,2,25,2,47,0,28,2,25,1,21
10/20/2018,Lake Forest College,41,215,2,31,20,196,1,21,196,1,21,1,25,0,25,2,44,0,31
10/27/2018,Illinois College,44,197,3,25,24,303,4,55,303,4,55,3,34,0,24,0,0,0,0
11/3/2018,Cornell College,45,84,3,21,8,172,0,51,172,0,51,2,22,0,11,1,3,0,3
11/10/2018,Beloit,32,103,0,18,17,174,4,23,174,4,23,7,155,0,31,1,0,0,0
