#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
25.0,"Saia, Dustin 25 Saia, Dustin",10,123,639,47,592,4.8,2,37,59.2,View Bio
33.0,"Carter, Danny 33 Carter, Danny",10,156,520,59,461,3.0,5,37,46.1,View Bio
6.0,"Hill, Max 6 Hill, Max",10,3,18,0,18,6.0,0,11,1.8,View Bio
12.0,"Kaplinski, Jake 12 Kaplinski, Jake",10,88,227,228,-1,0.0,1,13,-0.1,View Bio
1.0,"Siff, Matt 1 Siff, Matt",6,4,7,12,-5,-1.3,1,6,-0.83,View Bio
,"Goldammer, Pat  Goldammer, Pat",10,3,0,28,-28,-9.3,0,0,-2.8,
,Team  Team,8,10,0,94,-94,-9.4,0,0,-11.75,
,Total,10,387,1411,468,943,2.4,9,37,94.3,
,Opponents,10,416,2273,247,2026,4.9,25,48,202.6,
