Stat,Value,Player/Opponent
Rushes,51,vs Trinity Bible Coll. (9/8/2018)
Yards Rushing,320,vs Trinity Bible Coll. (9/8/2018)
TD Rushes,5,vs Trinity Bible Coll. (9/8/2018)
Pass Attempts,46,vs Knox College (10/13/2018)
Pass Completions,23,vs Lake Forest College (10/20/2018)
Yards Passing,238,vs Cornell College (11/3/2018)
TD Passes,3,vs Beloit (11/10/2018)
