#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
25.0,"Saia, Dustin 25 Saia, Dustin",10,53,621,11.72,5,63,62.1,View Bio
6.0,"Hill, Max 6 Hill, Max",10,26,325,12.5,2,36,32.5,View Bio
8.0,"Taylor, David 8 Taylor, David",10,23,221,9.61,1,54,22.1,View Bio
21.0,"Borda, Will 21 Borda, Will",10,18,206,11.44,1,38,20.6,View Bio
33.0,"Carter, Danny 33 Carter, Danny",10,20,178,8.9,2,50,17.8,View Bio
1.0,"Siff, Matt 1 Siff, Matt",6,3,44,14.67,0,32,7.33,View Bio
35.0,"Maloney, Alec 35 Maloney, Alec",8,1,18,18.0,0,18,2.25,View Bio
5.0,"Gubner, Kevin 5 Gubner, Kevin",10,1,7,7.0,0,7,0.7,View Bio
,Total,10,145,1620,11.17,11,63,162.0,
,Opponents,10,134,1594,11.9,19,72,159.4,
