#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
,"Goldammer, Pat  Goldammer, Pat",42,1324,31.52,47,1,10,3,0,2,
12.0,"Kaplinski, Jake 12 Kaplinski, Jake",9,250,27.78,54,0,1,3,1,1,View Bio
8.0,"Taylor, David 8 Taylor, David",6,205,34.17,39,0,0,1,0,1,View Bio
,Team  Team,4,6,1.5,6,0,0,0,0,0,
7.0,"Headrick, Connor 7 Headrick, Connor",1,17,17.0,17,0,0,0,0,0,View Bio
,Total,62,1802,29.06,54,1,11,7,1,4,
,Opponents,51,1735,34.02,56,7,2,14,2,1,
