Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/1/2018,Lawrence University,L,13-20,1,1,6,1,0,1,0,0,0,0,0,0,0
9/8/2018,Trinity Bible Coll.,W,46-0,7,6,40,6,5,1,0,0,0,0,0,1,0
9/22/2018,St. Norbert College,L,0-91,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/2018,Ripon College,L,7-53,1,1,7,1,1,0,0,0,0,0,0,0,0
10/6/2018,Monmouth College,L,0-55,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2018,Knox College,L,7-28,2,1,7,1,0,1,0,0,1,0,0,0,0
10/20/2018,Lake Forest College,L,0-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10/27/2018,Illinois College,L,14-55,2,2,14,2,0,2,0,0,0,0,0,0,0
11/3/2018,Cornell College,L,13-23,3,2,13,2,1,1,0,0,1,0,0,0,0
11/10/2018,Beloit,W,41-31,5,2,14,2,1,1,0,0,3,0,0,0,0
,TOTALS,,,21,15,101,15,8,7,0,0,5,0,0,1,0
