#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
54,"Slager, Ryan 54 Slager, Ryan",10,87,71,158.0,5.5-24,3.5-20,0,2,0,2,1,0,0,View Bio
4,"Keele, Jeff 4 Keele, Jeff",10,32,37,69.0,15.0-67,6.0-38,0,2,0,0,1,1,0,View Bio
10,"Pavoni, Vinny 10 Pavoni, Vinny",10,40,22,62.0,3.5-6,0-0,1,1,0,0,0,0,0,View Bio
11,"Thompson, Hassan 11 Thompson, Hassan",10,30,28,58.0,11.0-41,1.5-18,1,3,0,0,2,0,0,View Bio
34,"Johnson, Anthony 34 Johnson, Anthony",10,27,26,53.0,3.5-13,2.0-8,1,2,0,0,0,0,0,View Bio
45,"Johnson, Rick 45 Johnson, Rick",10,28,24,52.0,9.0-49,5.0-41,1,1,1,1,0,0,0,View Bio
3,"Kargbo, Sal 3 Kargbo, Sal",10,26,17,43.0,1.0-3,0-0,3,10,0,0,0,1,0,View Bio
9,"McCray, Jelani 9 McCray, Jelani",10,18,12,30.0,0-0,0-0,0,4,0,0,0,0,0,View Bio
66,"Henehan, Tom 66 Henehan, Tom",10,13,14,27.0,3.0-10,2.0-9,0,0,0,0,0,1,0,View Bio
75,"Doulaveris, Zis 75 Doulaveris, Zis",10,9,16,25.0,1.5-6,0.5-4,0,0,0,0,0,0,0,
26,"Lim, Ben 26 Lim, Ben",9,13,9,22.0,0-0,0-0,0,3,0,0,0,0,0,View Bio
59,"Sabah, Clinton 59 Sabah, Clinton",10,9,10,19.0,2.0-6,0.5-4,0,1,0,0,0,0,0,View Bio
22,"Msekela, James 22 Msekela, James",7,5,4,9.0,0.5-1,0-0,0,0,0,0,0,0,0,View Bio
15,"Kamimura, Marco 15 Kamimura, Marco",8,4,2,6.0,0-0,0-0,0,1,0,0,0,0,0,View Bio
92,"Lemmon, Stephen 92 Lemmon, Stephen",7,1,4,5.0,0.5-5,0.5-5,0,0,0,0,0,0,0,View Bio
25,"Saia, Dustin 25 Saia, Dustin",10,2,3,5.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
21,"Borda, Will 21 Borda, Will",10,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
33,"Carter, Danny 33 Carter, Danny",10,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
56,"Goldammer, Pat 56 Goldammer, Pat",10,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0,
55,"Griffin, Elijah 55 Griffin, Elijah",7,0,3,3.0,0.5-0,0-0,0,1,0,0,0,0,0,View Bio
6,"Hill, Max 6 Hill, Max",10,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
16,"Del Mar, Chaz 16 Del Mar, Chaz",2,0,2,2.0,0-0,0-0,0,1,0,1,0,0,0,View Bio
35,"Maloney, Alec 35 Maloney, Alec",8,2,0,2.0,0-0,0-0,0,0,0,0,1,0,0,View Bio
65,"Riley, Cole 65 Riley, Cole",10,1,1,2.0,0-0,0-0,0,0,0,1,0,0,0,View Bio
70,"Austen, Alex 70 Austen, Alex",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
5,"Gubner, Kevin 5 Gubner, Kevin",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
62,"Jordan, Nat 62 Jordan, Nat",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
TM,Team TM Team,8,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,
,Total,10,357,311,668.0,56.5-231,21.5-147,7,32,1,5,5,3,0,
,Opponents,10,342,331,673.0,91.0-336,28.0-160,12,22,1,15,17,6,1,
